FileId,Layers,TrainAccuracy,ValidationAccuracy,TestAccuracy,Folder3Accuracy,Iterations,Performance,TrainFunction,TrainTime,HiddenLayer,OuputLayer
1,10,100,86.66666667,80,75,11,0.015294545,trainlm,3.1115057,logsig,purelin
2,10,98.57142857,86.66666667,86.66666667,77.5,39,0.020503519,trainrp,0.1412613,logsig,purelin
3,10,100,86.66666667,80,87.5,67,0.018733221,traincgp,0.3231264,logsig,purelin
4,10,100,73.33333333,73.33333333,82.5,10,0.028579768,trainlm,3.1069804,tansig,purelin
5,10,48.57142857,26.66666667,33.33333333,40,25,0.068081493,trainrp,0.102581,tansig,purelin
6,10,54.28571429,40,60,37.5,27,0.071915511,traincgp,0.1515707,tansig,purelin
7,10,100,80,93.33333333,87.5,11,0.006692811,trainlm,2.8817206,tansig,tansig
8,10,65.71428571,53.33333333,66.66666667,52.5,25,0.051592146,trainrp,0.1657216,tansig,tansig
9,10,60,60,53.33333333,57.5,30,0.049622918,traincgp,0.2176819,tansig,tansig
10,10,25.71428571,26.66666667,26.66666667,22.5,23,0.245233428,trainlm,7.4661238,logsig,logsig
11,10,42.85714286,33.33333333,33.33333333,30,35,0.241484684,trainrp,0.1512177,logsig,logsig
12,10,11.42857143,6.666666667,6.666666667,12.5,7,0.25,traincgp,0.1102314,logsig,logsig
13,10,100,100,93.33333333,95,12,0.010558913,trainlm,3.4473218,logsig,purelin
14,10,91.42857143,66.66666667,66.66666667,70,24,0.046679344,trainrp,0.1042996,logsig,purelin
15,10,100,80,73.33333333,77.5,32,0.029352946,traincgp,0.1709066,logsig,purelin
16,10,100,86.66666667,66.66666667,80,10,0.028303236,trainlm,2.8047198,tansig,purelin
17,10,64.28571429,46.66666667,46.66666667,57.5,45,0.055262512,trainrp,0.1215316,tansig,purelin
18,10,65.71428571,60,20,52.5,18,0.071677122,traincgp,0.1038427,tansig,purelin
19,10,100,100,80,70,12,0.006006031,trainlm,3.2671715,tansig,tansig
20,10,68.57142857,40,33.33333333,47.5,40,0.046922449,trainrp,0.114752,tansig,tansig
